group,type,schema,property,value_type,required,enum,max_length,default,description,doc_url
flex-component,box,FlexBox,layout,string,true,horizontal|vertical|baseline,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,flex,integer,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,contents,array<FlexComponent>,true,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,spacing,string,false,,,none,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,margin,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,position,string,false,relative|absolute,,relative,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,offsetTop,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,offsetBottom,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,offsetStart,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,offsetEnd,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,backgroundColor,string,false,,,#00000000,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,borderColor,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,borderWidth,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,cornerRadius,string,false,,,none,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,width,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,maxWidth,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,height,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,maxHeight,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,paddingAll,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
flex-component,box,FlexBox,paddingTop,string,false,,,,,https://developers.line.biz/en/reference/messaging-api/#box
