product,page,page_title,section,item,attribute,value,doc_url
basics,basics/channel-access-token,Channel access token,Types of channel access tokens,Channel access token with a user-specified expiration,Validity period,Up to 30 days,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Types of channel access tokens,Channel access token with a user-specified expiration,Number of issues per channel,30,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Types of channel access tokens,Stateless channel access token,Validity period,15 minutes,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Types of channel access tokens,Stateless channel access token,Number of issues per channel,Limitless,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Types of channel access tokens,Short-lived channel access token,Validity period,30 days,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Types of channel access tokens,Short-lived channel access token,Number of issues per channel,30,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Types of channel access tokens,Long-lived channel access token,Validity period,Indefinite,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Types of channel access tokens,Long-lived channel access token,Number of issues per channel,1,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Channel access token with a user-specified expiration (Channel access token v2.1),Channel access token with a user-specified expiration (Channel access token v2.1),限制（寫在內文）,Channel access token v2.1 allows developers to set the validity period of up to 30 days.,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Channel access token with a user-specified expiration (Channel access token v2.1),Channel access token with a user-specified expiration (Channel access token v2.1),限制（寫在內文）,Up to 30 channel access tokens v2.1 can be issued per channel.,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Stateless channel access token,Stateless channel access token,限制（寫在內文）,Stateless channel tokens are channel access tokens that are only valid for 15 minutes.,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Short-lived channel access token,Short-lived channel access token,限制（寫在內文）,Short-lived channel access tokens are channel access tokens valid for 30 days.,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Short-lived channel access token,Short-lived channel access token,限制（寫在內文）,Up to 30 tokens can be issued per channel.,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/channel-access-token,Channel access token,Long-lived channel access token,Long-lived channel access token,限制（寫在內文）,You can also extend the validity of a currently active long-lived channel access token by up to 24 hours when reissuing it.,https://developers.line.biz/en/docs/basics/channel-access-token/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,User ID,Method 1 Get profile endpoint of Messaging API,✅ (userId),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,User ID,Method 2 Get user information endpoint of LINE Login,✅ (sub),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,User ID,Method 3 Get user profile endpoint of LINE Login,✅ (userId),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,User ID,Method 4 Payload of ID token of LINE Login,✅ (sub),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,User ID,Method 5 liff.getProfile(),✅ (userId),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,User ID,Method 6 Payload of liff.getDecodedIDToken(),✅ (sub),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,User ID,Method 7 Common Profile Quick-fill of LINE MINI App,❌,https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Display name,Method 1 Get profile endpoint of Messaging API,✅ (displayName),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Display name,Method 2 Get user information endpoint of LINE Login,✅ (name),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Display name,Method 3 Get user profile endpoint of LINE Login,✅ (displayName),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Display name,Method 4 Payload of ID token of LINE Login,✅ (name),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Display name,Method 5 liff.getProfile(),✅ (displayName),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Display name,Method 6 Payload of liff.getDecodedIDToken(),✅ (name),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Display name,Method 7 Common Profile Quick-fill of LINE MINI App,❌,https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Profile image,Method 1 Get profile endpoint of Messaging API,✅ (pictureUrl),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Profile image,Method 2 Get user information endpoint of LINE Login,✅ (picture),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Profile image,Method 3 Get user profile endpoint of LINE Login,✅ (pictureUrl),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Profile image,Method 4 Payload of ID token of LINE Login,✅ (picture),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Profile image,Method 5 liff.getProfile(),✅ (pictureUrl),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Profile image,Method 6 Payload of liff.getDecodedIDToken(),✅ (picture),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Profile image,Method 7 Common Profile Quick-fill of LINE MINI App,❌,https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Status message,Method 1 Get profile endpoint of Messaging API,✅ (statusMessage),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Status message,Method 2 Get user information endpoint of LINE Login,❌,https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Status message,Method 3 Get user profile endpoint of LINE Login,✅ (statusMessage),https://developers.line.biz/en/docs/basics/user-profile/
basics,basics/user-profile,Get user profile information,Types of profile information that can be obtained,Status message,Method 4 Payload of ID token of LINE Login,❌,https://developers.line.biz/en/docs/basics/user-profile/
