version,released,apis_touched,api_count,doc_url
2.30.0,2026-08-17,"liff.permission.requestAll,liff.getFriendship,liff.requestFriendship",3,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-30-0
2.29.2,2026-07-31,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-29-2
2.29.1,2026-06-29,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-29-1
2.29.0,2026-05-13,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-29-0
2.28.0,2026-03-24,liff.requestFriendship,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-28-0
2.27.3,2025-11-17,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-27-3
2.27.2,2025-09-08,liff.init,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-27-2
2.27.1,2025-07-24,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-27-1
2.27.0,,"liff.permission.getGrantedAll,liff.getContext",2,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-27-0
2.26.1,,"liff.state,liff.line.me,liff.init",3,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-26-1
2.26.0,,"liff.getProfile,liff.getFriendship,liff.sendMessages",3,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-26-0
2.25.1,2024-12-13,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-25-1
2.25.0,2024-11-12,liff.permanentLink.createUrlBy,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-25-0
2.24.0,,"liff.getAppLanguage,liff.getLanguage",2,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-24-0
2.23.2,,liff.init,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-23-2
2.23.1,,liff.scanCodeV2,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-23-1
2.23.0,2023-11-30,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-23-0
2.22.4,,liff.permission.requestAll,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-22-4
2.22.3,,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-22-3
2.22.2,,liff.login,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-22-2
2.22.1,,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-22-1
2.22.0,,"liff.id,liff.ready,liff.init,liff.getVersion,liff.use,liff.getOS,liff.getLanguage",7,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-22-0
2.21.4,2022-12-13,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-21-4
2.21.3,2022-11-10,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-21-3
2.21.2,2022-10-12,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-21-2
2.21.1,,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-21-1
2.21.0,,"liff.init,liff.getProfile,liff.i18n.setLang",3,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-21-0
2.20.3,,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-20-3
2.20.2,,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-20-2
2.20.1,,liff.scanCodeV2,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-20-1
2.19.1,,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-19-1
2.19.0,,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-19-0
2.18.2,,"liff.scanCodeV2,liff.permanentLink.createUrlBy,liff.sendMessages",3,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-18-2
2.18.1,2021-12-21,"liff.sendMessages,liff.shareTargetPicker",2,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-18-1
2.18.0,,"liff.permanentLink.createUrlBy,liff.permanentLink.createUrl,liff.permanentLink.setExtraQueryParam,liff.permanentLink,liff.line.me",5,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-18-0
2.17.0,2021-11-11,liff.openWindow,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-17-0
2.16.1,2021-10-26,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-16-1
2.16.0,2021-10-12,"liff.shareTargetPicker,liff.isApiAvailable,liff.getLineVersion",3,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-16-0
2.15.0,2021-09-30,"liff.login,liff.scanCodeV2,liff.scanCode,liff.init",4,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-15-0
2.14.0,2021-09-14,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-14-0
2.13.0,2021-08-12,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-13-0
2.12.0,2021-07-12,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-12-0
2.11.1,2021-06-24,"liff.init,liff.line.me",2,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-11-1
2.11.0,2021-06-14,"liff.init,liff.line.me,liff.state",3,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-11-0
2.10.0,2021-05-17,"liff.init,liff.getContext",2,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-10-0
2.9.1,2021-04-27,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-9-1
2.9.0,2021-04-13,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-9-0
2.8.1,2021-03-16,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-8-1
2.8.0,2021-02-15,"liff.init,liff.line.me,liff.state",3,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-8-0
2.7.1,2021-01-20,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-7-1
2.7.0,2021-01-14,liff.getDecodedIDToken,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-7-0
2.6.0,2020-12-01,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-6-0
2.5.0,2020-10-29,liff.init,1,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-5-0
2.3.3,2020-09-28,"liff.line.me,liff.state",2,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-3-3
2.4.1,2020-09-24,"liff.isApiAvailable,liff.init,liff.getContext,liff.permanentLink.createUrl,liff.line.me,liff.state",6,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-4-1
2.4.0,2020-08-31,"liff.closeWindow,liff.permanentLink.createUrl,liff.init,liff.state",4,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-4-0
2.3.1,2020-07-16,,0,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-3-1
2.3.0,2020-06-29,"liff.permanentLink.createUrl,liff.shareTargetPicker,liff.sendMessages,liff.isApiAvailable,liff.getLineVersion,liff.init,liff.getProfile,liff.getFriendship,liff.id,liff.ready,liff.scanCode,liff.bluetooth.,liff.initPlugins,liff.getAccessToken",14,https://developers.line.biz/en/docs/liff/release-notes/#liff-v2-3-0
