group,type,schema,property,value_type,required,enum,max_length,description,doc_url
message,audio,AudioMessage,originalContentUrl,string,true,,2000,,https://developers.line.biz/en/reference/messaging-api/#audio-message
message,audio,AudioMessage,duration,integer,true,,,,https://developers.line.biz/en/reference/messaging-api/#audio-message
message,audio,AudioMessage,type,string,true,,,Type of message,https://developers.line.biz/en/reference/messaging-api/#audio-message
message,audio,AudioMessage,quickReply,QuickReply,false,,,,https://developers.line.biz/en/reference/messaging-api/#audio-message
message,audio,AudioMessage,sender,Sender,false,,,,https://developers.line.biz/en/reference/messaging-api/#audio-message
message,coupon,CouponMessage,couponId,string,true,,,Unique identifier of the coupon.,https://developers.line.biz/en/reference/messaging-api/#coupon-message
message,coupon,CouponMessage,deliveryTag,string,false,,30,Delivery route tag information. It can be used for analysis in LINE OA Manager.,https://developers.line.biz/en/reference/messaging-api/#coupon-message
message,coupon,CouponMessage,type,string,true,,,Type of message,https://developers.line.biz/en/reference/messaging-api/#coupon-message
message,coupon,CouponMessage,quickReply,QuickReply,false,,,,https://developers.line.biz/en/reference/messaging-api/#coupon-message
message,coupon,CouponMessage,sender,Sender,false,,,,https://developers.line.biz/en/reference/messaging-api/#coupon-message
message,flex,FlexMessage,altText,string,true,,1500,,https://developers.line.biz/en/reference/messaging-api/#flex-message
message,flex,FlexMessage,contents,FlexContainer,true,,,,https://developers.line.biz/en/reference/messaging-api/#flex-message
message,flex,FlexMessage,type,string,true,,,Type of message,https://developers.line.biz/en/reference/messaging-api/#flex-message
message,flex,FlexMessage,quickReply,QuickReply,false,,,,https://developers.line.biz/en/reference/messaging-api/#flex-message
message,flex,FlexMessage,sender,Sender,false,,,,https://developers.line.biz/en/reference/messaging-api/#flex-message
message,image,ImageMessage,originalContentUrl,string,true,,2000,,https://developers.line.biz/en/reference/messaging-api/#image-message
message,image,ImageMessage,previewImageUrl,string,true,,2000,,https://developers.line.biz/en/reference/messaging-api/#image-message
message,image,ImageMessage,type,string,true,,,Type of message,https://developers.line.biz/en/reference/messaging-api/#image-message
message,image,ImageMessage,quickReply,QuickReply,false,,,,https://developers.line.biz/en/reference/messaging-api/#image-message
message,image,ImageMessage,sender,Sender,false,,,,https://developers.line.biz/en/reference/messaging-api/#image-message
message,imagemap,ImagemapMessage,baseUrl,string,true,,2000,,https://developers.line.biz/en/reference/messaging-api/#imagemap-message
message,imagemap,ImagemapMessage,altText,string,true,,1500,,https://developers.line.biz/en/reference/messaging-api/#imagemap-message
message,imagemap,ImagemapMessage,baseSize,ImagemapBaseSize,true,,,,https://developers.line.biz/en/reference/messaging-api/#imagemap-message
message,imagemap,ImagemapMessage,actions,array<ImagemapAction>,true,,50,,https://developers.line.biz/en/reference/messaging-api/#imagemap-message
message,imagemap,ImagemapMessage,video,ImagemapVideo,false,,,,https://developers.line.biz/en/reference/messaging-api/#imagemap-message
message,imagemap,ImagemapMessage,type,string,true,,,Type of message,https://developers.line.biz/en/reference/messaging-api/#imagemap-message
message,imagemap,ImagemapMessage,quickReply,QuickReply,false,,,,https://developers.line.biz/en/reference/messaging-api/#imagemap-message
