platform,kind,name,nested,package,doc_url
ios-swift,class,AccessTokenStore,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/AccessTokenStore.html
ios-swift,class,JSONParsePipeline,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/JSONParsePipeline.html
ios-swift,class,LoginButton,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/LoginButton.html
ios-swift,class,ButtonSize,true,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/LoginButton/ButtonSize.html
ios-swift,class,LoginManager,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/LoginManager.html
ios-swift,class,Parameters,true,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/LoginManager/Parameters.html
ios-swift,class,BotPrompt,true,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/LoginManager/BotPrompt.html
ios-swift,class,WebPageLanguage,true,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/LoginManager/WebPageLanguage.html
ios-swift,class,LoginProcess,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/LoginProcess.html
ios-swift,class,OpenChatCreatingController,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/OpenChatCreatingController.html
ios-swift,class,Session,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Classes/Session.html
ios-swift,enum,API,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/API.html
ios-swift,enum,Auth,true,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/API/Auth.html
ios-swift,enum,AuthenticateMethod,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/AuthenticateMethod.html
ios-swift,enum,AuthorizationStatus,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/AuthorizationStatus.html
ios-swift,enum,CallbackQueue,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/CallbackQueue.html
ios-swift,enum,ContentType,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/ContentType.html
ios-swift,enum,CryptoError,false,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/CryptoError.html
ios-swift,enum,AlgorithmsErrorReason,true,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/CryptoError/AlgorithmsErrorReason.html
ios-swift,enum,JWTErrorReason,true,LineSDK,https://developers.line.biz/en/reference/ios-sdk-swift/Enums/CryptoError/JWTErrorReason.html
