package_id,title_en,sticker_id_from,sticker_id_to,count,sticker_ids
446,Moon: Special Edition,1988,1992,5,"1988,1989,1990,1991,1992"
789,Sally: Special Edition,10855,10859,5,"10855,10856,10857,10858,10859"
1070,Moon: Special Edition,17839,17843,5,"17839,17840,17841,17842,17843"
6136,LINE Characters: Making Amends,10551376,10551380,5,"10551376,10551377,10551378,10551379,10551380"
6325,Brown and Cony Fun Size Pack,10979904,10979908,5,"10979904,10979905,10979906,10979907,10979908"
6359,Brown and Cony Fun Size Pack,11069848,11069852,5,"11069848,11069849,11069850,11069851,11069852"
6362,Brown and Cony Fun Size Pack,11087920,11087924,5,"11087920,11087921,11087922,11087923,11087924"
6370,Brown and Cony Fun Size Pack,11088016,11088020,5,"11088016,11088017,11088018,11088019,11088020"
6632,LINE Characters: Making Amends,11825374,11825378,5,"11825374,11825375,11825376,11825377,11825378"
8515,LINE Characters: Pretty Phrases,16581242,16581246,5,"16581242,16581243,16581244,16581245,16581246"
8522,LINE Characters: Pretty Phrases,16581266,16581270,5,"16581266,16581267,16581268,16581269,16581270"
8525,LINE Characters: Pretty Phrases,16581290,16581294,5,"16581290,16581291,16581292,16581293,16581294"
11537,Brown & Cony & Sally: Animated Special,52002734,52002738,5,"52002734,52002735,52002736,52002737,52002738"
11538,CHOCO & Friends: Animated Special,51626494,51626498,5,"51626494,51626495,51626496,51626497,51626498"
11539,UNIVERSTAR BT21: Animated Special,52114110,52114114,5,"52114110,52114111,52114112,52114113,52114114"
