group,type,schema,property,value_type,required,enum,max_length,default,description,doc_url
event,accountLink,AccountLinkEvent,replyToken,string,false,,,,Reply token used to send reply message to this event. This property won't be included if linking the account has failed.,https://developers.line.biz/en/reference/messaging-api/#account-link-event
event,accountLink,AccountLinkEvent,link,LinkContent,true,,,,,https://developers.line.biz/en/reference/messaging-api/#account-link-event
event,accountLink,AccountLinkEvent,type,string,true,,,,Type of the event,https://developers.line.biz/en/reference/messaging-api/#account-link-event
event,accountLink,AccountLinkEvent,source,Source,false,,,,,https://developers.line.biz/en/reference/messaging-api/#account-link-event
event,accountLink,AccountLinkEvent,timestamp,integer,true,,,,Time of the event in milliseconds.,https://developers.line.biz/en/reference/messaging-api/#account-link-event
event,accountLink,AccountLinkEvent,mode,EventMode,true,,,,,https://developers.line.biz/en/reference/messaging-api/#account-link-event
event,accountLink,AccountLinkEvent,webhookEventId,string,true,,,,Webhook Event ID. An ID that uniquely identifies a webhook event. This is a string in ULID format.,https://developers.line.biz/en/reference/messaging-api/#account-link-event
event,accountLink,AccountLinkEvent,deliveryContext,DeliveryContext,true,,,,,https://developers.line.biz/en/reference/messaging-api/#account-link-event
event,activated,ActivatedEvent,chatControl,ChatControl,true,,,,,https://developers.line.biz/en/reference/partner-docs/#activated-event
event,activated,ActivatedEvent,type,string,true,,,,Type of the event,https://developers.line.biz/en/reference/partner-docs/#activated-event
event,activated,ActivatedEvent,source,Source,false,,,,,https://developers.line.biz/en/reference/partner-docs/#activated-event
event,activated,ActivatedEvent,timestamp,integer,true,,,,Time of the event in milliseconds.,https://developers.line.biz/en/reference/partner-docs/#activated-event
event,activated,ActivatedEvent,mode,EventMode,true,,,,,https://developers.line.biz/en/reference/partner-docs/#activated-event
event,activated,ActivatedEvent,webhookEventId,string,true,,,,Webhook Event ID. An ID that uniquely identifies a webhook event. This is a string in ULID format.,https://developers.line.biz/en/reference/partner-docs/#activated-event
event,activated,ActivatedEvent,deliveryContext,DeliveryContext,true,,,,,https://developers.line.biz/en/reference/partner-docs/#activated-event
event,beacon,BeaconEvent,replyToken,string,true,,,,Reply token used to send reply message to this event,https://developers.line.biz/en/reference/messaging-api/#beacon-event
event,beacon,BeaconEvent,beacon,BeaconContent,true,,,,,https://developers.line.biz/en/reference/messaging-api/#beacon-event
event,beacon,BeaconEvent,type,string,true,,,,Type of the event,https://developers.line.biz/en/reference/messaging-api/#beacon-event
event,beacon,BeaconEvent,source,Source,false,,,,,https://developers.line.biz/en/reference/messaging-api/#beacon-event
event,beacon,BeaconEvent,timestamp,integer,true,,,,Time of the event in milliseconds.,https://developers.line.biz/en/reference/messaging-api/#beacon-event
event,beacon,BeaconEvent,mode,EventMode,true,,,,,https://developers.line.biz/en/reference/messaging-api/#beacon-event
event,beacon,BeaconEvent,webhookEventId,string,true,,,,Webhook Event ID. An ID that uniquely identifies a webhook event. This is a string in ULID format.,https://developers.line.biz/en/reference/messaging-api/#beacon-event
event,beacon,BeaconEvent,deliveryContext,DeliveryContext,true,,,,,https://developers.line.biz/en/reference/messaging-api/#beacon-event
event,botResumed,BotResumedEvent,type,string,true,,,,Type of the event,https://developers.line.biz/en/reference/partner-docs/#botresumed-event
event,botResumed,BotResumedEvent,source,Source,false,,,,,https://developers.line.biz/en/reference/partner-docs/#botresumed-event
event,botResumed,BotResumedEvent,timestamp,integer,true,,,,Time of the event in milliseconds.,https://developers.line.biz/en/reference/partner-docs/#botresumed-event
event,botResumed,BotResumedEvent,mode,EventMode,true,,,,,https://developers.line.biz/en/reference/partner-docs/#botresumed-event
event,botResumed,BotResumedEvent,webhookEventId,string,true,,,,Webhook Event ID. An ID that uniquely identifies a webhook event. This is a string in ULID format.,https://developers.line.biz/en/reference/partner-docs/#botresumed-event
event,botResumed,BotResumedEvent,deliveryContext,DeliveryContext,true,,,,,https://developers.line.biz/en/reference/partner-docs/#botresumed-event
event,botSuspended,BotSuspendedEvent,type,string,true,,,,Type of the event,https://developers.line.biz/en/reference/partner-docs/#botsuspend-event
event,botSuspended,BotSuspendedEvent,source,Source,false,,,,,https://developers.line.biz/en/reference/partner-docs/#botsuspend-event
event,botSuspended,BotSuspendedEvent,timestamp,integer,true,,,,Time of the event in milliseconds.,https://developers.line.biz/en/reference/partner-docs/#botsuspend-event
event,botSuspended,BotSuspendedEvent,mode,EventMode,true,,,,,https://developers.line.biz/en/reference/partner-docs/#botsuspend-event
event,botSuspended,BotSuspendedEvent,webhookEventId,string,true,,,,Webhook Event ID. An ID that uniquely identifies a webhook event. This is a string in ULID format.,https://developers.line.biz/en/reference/partner-docs/#botsuspend-event
event,botSuspended,BotSuspendedEvent,deliveryContext,DeliveryContext,true,,,,,https://developers.line.biz/en/reference/partner-docs/#botsuspend-event
